tweet_id,retweet_count,favorite_count
892177421306343426,5688,31142
891815181378084864,3770,23454
891689557279858688,7855,39389
891327558926688256,8460,37619
891087950875897856,2838,18951
890971913173991426,1845,11027
890729181411237888,17154,60820
890609185150312448,3906,26068
890240255349198849,6671,29820
890006608113172480,6658,28696
889880896479866881,4538,26104
889665388333682689,9099,44942
889638837579907072,4077,25294
889531135344209921,2053,14170
889278841981685760,4850,23581
888917238123831296,4090,27210
888804989199671297,3859,23924
888554962724278272,3168,18466
888078434458587136,3155,20382
887705289381826560,4901,28290
887517139158093824,10714,43389
887473957103951883,16359,64296
887343217045368832,9527,31485
887101392804085760,5427,28635
886983233522544640,6977,32656
886736880519319552,2928,11214
886680336477933568,4073,21024
886366144734445568,2883,19764
886267009285017600,4,111
886258384151887873,5749,26179
886054160059072513,100,0
885984800019947520,6114,30483
885528943205470208,5817,33625
885518971528720385,3400,19159
885311592912609280,16856,0
885167619883638784,3978,20480
884925521741709313,16456,72093
884876753390489601,5079,26034
884562892145688576,4280,22724
884441805382717440,5186,25344
884247878851493888,18488,67899
884162670584377345,2726,19089
883838122936631299,3129,20452
883482846933004288,8992,42863
883360690899218434,3368,21208
883117836046086144,6048,34710
882992080364220416,3545,22341
882762694511734784,4450,26439
882627270321602560,5529,26186
882268110199369728,10545,41924
882045870035918850,4453,27420
881906580714921986,3096,22773
881666595344535552,9723,47374
881633300179243008,7,117
881536004380872706,14538,46275
881268444196462592,4803,21738
880935762899988482,2541,15996
880872448815771648,3489,19916
880465832366813184,5664,26653
880221127280381952,3800,25230
880095782870896641,3954,25836
879862464715927552,3187,20945
879674319642796034,10,295
879492040517615616,2907,21987
879415818425184262,40515,98987
879376492567855104,2854,15734
879130579576475649,6196,0
879050749262655488,4283,21088
879008229531029506,2442,17808
878776093423087618,3729,18142
878604707211726852,6475,28211
878404777348136964,1179,0
878316110768087041,6082,0
878281511006478336,1179,7246
878057613040115712,6196,39429
877736472329191424,17296,74302
877611172832227328,73,0
877556246731214848,3477,21261
877316821321428993,4757,25682
877201837425926144,5097,25403
876838120628539392,3042,19405
876537666061221889,4284,22178
876484053909872640,2164,17599
876120275196170240,4269,26234
875747767867523072,3908,23612
875144289856114688,4491,20562
875097192612077568,5556,25749
875021211251597312,4326,23939
874680097055178752,4238,26107
874434818259525634,13312,0
874296783580663808,3765,24448
874057562936811520,3649,21337
874012996292530176,9392,32206
